Название,Телефон,Сайт,Адрес,Город,Рейтинг,Кол-во отзывов,Категории,Часы работы,Ссылки для записи,Запрос
Салон красоты Naturel-Studio,+7 930 036-10-54,https://naturel-studio.ru/?utm_source=googlemap&utm_medium=geo&utm_campaign=google_karty_salon_Komsomolskaya,"ул. Маши Порываевой, ул., 38, 1 этаж, Москва, Россия, 107078",Москва,4.5,159,"Салон красоты, Мужская парикмахерская, Центр по уходу за лицом, Наращивание волос, Парикмахерская, Лазерная эпиляция, Массажист, Маникюр и педикюр, Восковая депиляция",четверг: 08:00–23:00 | пятница: 08:00–23:00 | суббота: 08:00–23:00 | воскресенье: 08:00–23:00 | понедельник: 08:00–23:00 | вторник: 08:00–23:00 | среда: 08:00–23:00,https://www.naturel-studio.ru/price/#signUp,салоны красоты Москва
Студия Грива,+7 926 404-02-93,https://greeva.ru/,"гостиница Оксана, Ярославская ул., 15, к. 2, 1 этаж, Москва, Россия, 129366",Москва,4.8,318,"Салон красоты, Мужская парикмахерская, Наращивание волос, Парикмахерская, Маникюр и педикюр, Окрашивание",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://yc.gl/book/29708/?rwg_token=AFd1xnG3gPrf7nrhTYdxKou04ieeBEMSqwR7Cil5r00_MDT-IQeL7yQGxju02ysND01h9KQbAaEsi12ZXpfmVga_da7HuBNhzg%3D%3D,салоны красоты Москва
Милан,+7 499 261-99-20,http://salonmilan.ru/,"Денисовский пер., 22, Москва, Россия, 105005",Москва,4.8,122,Салон красоты,четверг: 08:00–21:00 | пятница: 08:00–21:00 | суббота: 08:00–21:00 | воскресенье: 08:00–21:00 | понедельник: 08:00–21:00 | вторник: 08:00–21:00 | среда: 08:00–21:00,,салоны красоты Москва
Naturel-Studio,+7 930 036-10-53,https://naturel-studio.ru/?utm_source=googlemap&utm_medium=geo&utm_campaign=google_karty_salon_Akademicheskaya,"Новочеремушкинская ул., 13, Москва, Россия, 117447",Москва,4.6,219,"Салон красоты, Мужская парикмахерская, Центр по уходу за лицом, Наращивание волос, Депиляция, Парикмахерская, Массажист, Маникюр и педикюр, Косметологическая клиника, Восковая депиляция",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://www.naturel-studio.ru/price/#signUp,салоны красоты Москва
Салон красоты и эстетики MARI SHARMEL,+7 495 438-00-09,http://marisharmel.com/,"ул. Островитянова, 4, Москва, Россия, 117513",Москва,4.6,49,"Салон красоты, Мужская парикмахерская, Пирсинг-салон, Спа-салон, Уход за ногами, Депиляция, Парикмахерская, Массажист, Маникюр и педикюр, Восковая депиляция",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Москва
Салон красоты Супермода,+7 499 131-07-64,http://www.supermoda.ru/,"пр. Вернадского, 9/10, 1 этаж, Москва, Россия, 119311",Москва,4.7,97,"Салон красоты, Мужская парикмахерская, Магазин товаров для парикмахерских, Студия коррекции бровей, Центр по уходу за лицом, Депиляция, Визажист, Массажист, Маникюр и педикюр, Парикмахер",четверг: 08:00–22:00 | пятница: 08:00–22:00 | суббота: 08:00–22:00 | воскресенье: 08:00–22:00 | понедельник: 08:00–22:00 | вторник: 08:00–22:00 | среда: 08:00–22:00,,салоны красоты Москва
Салон красоты Амариллис,+7 495 766-23-53,http://amaril.ru/,"Ленинградский проспект д.15, стр.35, офис 108 Культурно-деловой комплекс «Большевик», Ленинградский пр-т., 15 строение 35, Москва, Россия, 125040",Москва,4.9,52,"Салон красоты, Мужская парикмахерская, Студия коррекции бровей, Салон по уходу за ресницами, Уход за ногами, Наращивание волос, Депиляция, Визажист, Маникюр и педикюр, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,,салоны красоты Москва
"Пресня | Салон красоты Краснопресненская | Гидромассаж, обертывания, СПА",+7 499 253-54-49,https://spanapresne.ru/,"Столярный переулок, 7с1 2 и, 3 этаж, Москва, Россия, 123022",Москва,5,176,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Спа-салон, Студия коррекции бровей, Депиляция, Массажист, Маникюр и педикюр, Тайский массаж, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://yc.gl/book/129363/?rwg_token=AFd1xnG6jphEdPekI84lQ9nHbapFyqWINnM_BnojI8ikAkv4UL1RRZr6FdU7zifIzyFzhgk4Hi3TDAD3QeNrUd9Tayew-r7MYumBS8gong898dn2nRs1fmU%3D,салоны красоты Москва
Салон красоты и здоровья Версайс,+7 495 959-49-31,https://vercise.ru/,"ул. Пятницкая, 30, строение 1, 1 этаж, Москва, Россия, 119017",Москва,4.7,66,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Студия коррекции бровей, Центр по уходу за лицом, Депиляция, Массажист, Маникюр и педикюр, Студия перманентного макияжа, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://profsalon.org/online/mow_salon_krasoty/?back_url=https%3A%2F%2Finstagram.com%2Fvercise%3Figshid%3D16mg4xmjkbdga&source=103&skip_places=false,салоны красоты Москва
Салон красоты Элиза,+7 495 789-75-62,https://salon-eliza.ru/,"ул. Юных Ленинцев, 89 корпус 1, Москва, Россия, 109443",Москва,4.7,292,"Салон красоты, Мужская парикмахерская, Магазин косметики и парфюмерии, Студия коррекции бровей, Наращивание волос, Депиляция, Маникюр и педикюр, Окрашивание, Солярий, Парикмахер",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 10:00–18:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,https://wa.me/74957897562 https://t.me/salon_eliza,салоны красоты Москва
